ticker,layer,relation,entity,category,sector,confidence,note,source_name,source_url
BCE.TO,Clients servis,Connectivité,"Ménages, entreprises, gouvernement et médias",Clients,Services de communication,Indicatif,"Clients qui utilisent réseau mobile, internet, téléphonie et services numériques.",,
BCE.TO,Intrants,Réseau et spectre,"Tours, fibre, équipement réseau et licences de spectre",Fournisseurs,Télécommunications,Indicatif,Actifs essentiels pour connecter les clients.,,
BCE.TO,Intrants,Technologie,"Cloud, cybersécurité, logiciels et centres de données",Fournisseurs,Technologie,Indicatif,Technologies nécessaires aux services numériques et de connectivité.,,
BCE.TO,Secteurs impactés,Économie numérique,"Commerce, médias, travail hybride et services publics",Secteur,Technologie,Indicatif,La connectivité soutient de nombreux secteurs d’activité.,,
BEPC.TO,Clients servis,Utilisateurs d’infrastructure,"Entreprises, gouvernements, ménages et utilities",Clients,Infrastructure,Indicatif,Clients finaux ou indirects des infrastructures exploitées.,,
BEPC.TO,Intrants,Capital et ingénierie,"Financement, construction, exploitation et maintenance",Fournisseurs,Infrastructure,Indicatif,Intrants nécessaires aux actifs de long terme.,,
BEPC.TO,Secteurs impactés,Actifs réels,"Électricité, transport, immobilier et données",Secteur,Infrastructure,Indicatif,Exposition à plusieurs infrastructures essentielles.,,
BEPC.TO,Secteurs impactés,Transition énergétique,"Énergie renouvelable, réseaux et efficacité",Secteur,Énergie,Indicatif,Contribution potentielle aux infrastructures de transition.,,
BIP-UN.TO,Clients servis,Utilisateurs d’infrastructure,"Entreprises, gouvernements, ménages et utilities",Clients,Infrastructure,Indicatif,Clients finaux ou indirects des infrastructures exploitées.,,
BIP-UN.TO,Intrants,Capital et ingénierie,"Financement, construction, exploitation et maintenance",Fournisseurs,Infrastructure,Indicatif,Intrants nécessaires aux actifs de long terme.,,
BIP-UN.TO,Secteurs impactés,Actifs réels,"Électricité, transport, immobilier et données",Secteur,Infrastructure,Indicatif,Exposition à plusieurs infrastructures essentielles.,,
BIP-UN.TO,Secteurs impactés,Transition énergétique,"Énergie renouvelable, réseaux et efficacité",Secteur,Énergie,Indicatif,Contribution potentielle aux infrastructures de transition.,,
BMO.TO,Clients servis,Marchés financiers,Investisseurs institutionnels et gestion de patrimoine,Clients,Finance,Indicatif,"Courtages, placements, gestion d’actifs et services de marchés.",,
BMO.TO,Clients servis,Services aux entreprises,PME et grandes entreprises,Clients,Industrie,Indicatif,"Crédit, trésorerie, change, marchés financiers et services transactionnels.",,
BMO.TO,Clients servis,Services aux ménages,Clients particuliers,Clients,Consommation,Indicatif,"Comptes, cartes, hypothèques, prêts, épargne et placements.",,
BMO.TO,Intrants,Données et conformité,"Agences de crédit, conformité et gestion du risque",Fournisseurs,Services professionnels,Indicatif,Intrants utilisés pour l’octroi de crédit et la gestion des risques.,,
BMO.TO,Intrants,Infrastructure financière,Réseaux de paiement et compensation,Infrastructure,Finance,Indicatif,"Services et réseaux qui rendent possible les paiements, virements et règlements.",,
BMO.TO,Intrants,Technologie bancaire,"Cloud, cybersécurité et logiciels bancaires",Fournisseurs,Technologie,Indicatif,Base technologique nécessaire aux services numériques et à la conformité.,,
BMO.TO,Secteurs impactés,Consommation,Ménages et commerce de détail,Secteur,Consommation,Indicatif,"Cartes, prêts, épargne et solutions de paiement soutiennent la consommation.",,
BMO.TO,Secteurs impactés,Crédit aux entreprises,"Énergie, mines, industrie et technologies",Secteur,Marché canadien,Indicatif,Les banques financent plusieurs secteurs majeurs de l’économie canadienne.,,
BMO.TO,Secteurs impactés,Financement,Immobilier résidentiel et commercial,Secteur,Immobilier,Indicatif,"Exposition par prêts hypothécaires, financement de projets et crédit immobilier.",,
BN.TO,Clients servis,Utilisateurs d’infrastructure,"Entreprises, gouvernements, ménages et utilities",Clients,Infrastructure,Indicatif,Clients finaux ou indirects des infrastructures exploitées.,,
BN.TO,Intrants,Capital et ingénierie,"Financement, construction, exploitation et maintenance",Fournisseurs,Infrastructure,Indicatif,Intrants nécessaires aux actifs de long terme.,,
BN.TO,Secteurs impactés,Actifs réels,"Électricité, transport, immobilier et données",Secteur,Infrastructure,Indicatif,Exposition à plusieurs infrastructures essentielles.,,
BN.TO,Secteurs impactés,Transition énergétique,"Énergie renouvelable, réseaux et efficacité",Secteur,Énergie,Indicatif,Contribution potentielle aux infrastructures de transition.,,
BNS.TO,Clients servis,Marchés financiers,Investisseurs institutionnels et gestion de patrimoine,Clients,Finance,Indicatif,"Courtages, placements, gestion d’actifs et services de marchés.",,
BNS.TO,Clients servis,Services aux entreprises,PME et grandes entreprises,Clients,Industrie,Indicatif,"Crédit, trésorerie, change, marchés financiers et services transactionnels.",,
BNS.TO,Clients servis,Services aux ménages,Clients particuliers,Clients,Consommation,Indicatif,"Comptes, cartes, hypothèques, prêts, épargne et placements.",,
BNS.TO,Intrants,Données et conformité,"Agences de crédit, conformité et gestion du risque",Fournisseurs,Services professionnels,Indicatif,Intrants utilisés pour l’octroi de crédit et la gestion des risques.,,
BNS.TO,Intrants,Infrastructure financière,Réseaux de paiement et compensation,Infrastructure,Finance,Indicatif,"Services et réseaux qui rendent possible les paiements, virements et règlements.",,
BNS.TO,Intrants,Technologie bancaire,"Cloud, cybersécurité et logiciels bancaires",Fournisseurs,Technologie,Indicatif,Base technologique nécessaire aux services numériques et à la conformité.,,
BNS.TO,Secteurs impactés,Consommation,Ménages et commerce de détail,Secteur,Consommation,Indicatif,"Cartes, prêts, épargne et solutions de paiement soutiennent la consommation.",,
BNS.TO,Secteurs impactés,Crédit aux entreprises,"Énergie, mines, industrie et technologies",Secteur,Marché canadien,Indicatif,Les banques financent plusieurs secteurs majeurs de l’économie canadienne.,,
BNS.TO,Secteurs impactés,Financement,Immobilier résidentiel et commercial,Secteur,Immobilier,Indicatif,"Exposition par prêts hypothécaires, financement de projets et crédit immobilier.",,
CAE.TO,Clients servis,Services industriels et infrastructures,"Entreprises, gouvernements, clients d’infrastructure, logistique et construction",Clients,Industrie,Indicatif,Couverture TSX60 pour CAE Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CAE.TO,Intrants,Chaîne industrielle,"Équipement, énergie, acier, pièces, ingénierie, transport et main-d’œuvre spécialisée",Fournisseurs,Industrie,Indicatif,Couverture TSX60 pour CAE Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CAE.TO,Secteurs impactés,Capacité économique,"Transport, construction, commerce, infrastructures publiques et exportations",Secteur,Économie réelle,Indicatif,Couverture TSX60 pour CAE Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CCL-B.TO,Clients servis,Demande discrétionnaire,"Ménages, automobilistes, restaurants, détaillants et consommateurs finaux",Clients,Consommation,Indicatif,Couverture TSX60 pour CCL Industries Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CCL-B.TO,Intrants,Approvisionnement commercial,"Marques, immobilier commercial, logistique, publicité, paiement et distribution",Fournisseurs,Consommation,Indicatif,Couverture TSX60 pour CCL Industries Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CCL-B.TO,Secteurs impactés,Consommation finale,"Retail, restauration, transport, publicité, logistique et immobilier commercial",Secteur,Consommation,Indicatif,Couverture TSX60 pour CCL Industries Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CCO.TO,Clients servis,Approvisionnement énergétique,"Raffineries, utilities, industrie, transport et distributeurs",Clients,Énergie,Indicatif,Couverture TSX60 pour Cameco Corporation. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CCO.TO,Intrants,Actifs et services énergétiques,"Exploration, équipements, ingénierie, transport, maintenance et main-d’œuvre spécialisée",Fournisseurs,Énergie,Indicatif,Couverture TSX60 pour Cameco Corporation. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CCO.TO,Secteurs impactés,Usage final de l’énergie,"Transport, chauffage, industrie lourde, chimie et exportations",Secteur,Économie réelle,Indicatif,Couverture TSX60 pour Cameco Corporation. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CLS.TO,Clients servis,Solutions numériques,"Entreprises, commerçants, développeurs, institutions et utilisateurs finaux",Clients,Technologie,Indicatif,Couverture TSX60 pour Celestica Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CLS.TO,Intrants,Infrastructure numérique,"Cloud, semi-conducteurs, cybersécurité, données, talents logiciels et plateformes partenaires",Fournisseurs,Technologie,Indicatif,Couverture TSX60 pour Celestica Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CLS.TO,Secteurs impactés,Numérisation,"Commerce, finance, industrie, productivité, paiements, données et automatisation",Secteur,Économie numérique,Indicatif,Couverture TSX60 pour Celestica Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CM.TO,Clients servis,Marchés financiers,Investisseurs institutionnels et gestion de patrimoine,Clients,Finance,Indicatif,"Courtages, placements, gestion d’actifs et services de marchés.",,
CM.TO,Clients servis,Services aux entreprises,PME et grandes entreprises,Clients,Industrie,Indicatif,"Crédit, trésorerie, change, marchés financiers et services transactionnels.",,
CM.TO,Clients servis,Services aux ménages,Clients particuliers,Clients,Consommation,Indicatif,"Comptes, cartes, hypothèques, prêts, épargne et placements.",,
CM.TO,Intrants,Données et conformité,"Agences de crédit, conformité et gestion du risque",Fournisseurs,Services professionnels,Indicatif,Intrants utilisés pour l’octroi de crédit et la gestion des risques.,,
CM.TO,Intrants,Infrastructure financière,Réseaux de paiement et compensation,Infrastructure,Finance,Indicatif,"Services et réseaux qui rendent possible les paiements, virements et règlements.",,
CM.TO,Intrants,Technologie bancaire,"Cloud, cybersécurité et logiciels bancaires",Fournisseurs,Technologie,Indicatif,Base technologique nécessaire aux services numériques et à la conformité.,,
CM.TO,Secteurs impactés,Consommation,Ménages et commerce de détail,Secteur,Consommation,Indicatif,"Cartes, prêts, épargne et solutions de paiement soutiennent la consommation.",,
CM.TO,Secteurs impactés,Crédit aux entreprises,"Énergie, mines, industrie et technologies",Secteur,Marché canadien,Indicatif,Les banques financent plusieurs secteurs majeurs de l’économie canadienne.,,
CM.TO,Secteurs impactés,Financement,Immobilier résidentiel et commercial,Secteur,Immobilier,Indicatif,"Exposition par prêts hypothécaires, financement de projets et crédit immobilier.",,
CNQ.TO,Clients servis,Raffinage et distribution,"Raffineries, distributeurs et clients industriels",Clients,Énergie,Indicatif,"La production alimente les carburants, la pétrochimie et les usages industriels.",,
CNQ.TO,Intrants,Services pétroliers,"Forage, complétion, maintenance et équipement",Fournisseurs,Énergie,Indicatif,Services nécessaires à la production et à l’entretien des actifs.,,
CNQ.TO,Intrants,Transport et infrastructures,"Pipelines, terminaux, rail et stockage",Fournisseurs,Transport,Indicatif,Infrastructure utilisée pour déplacer la production vers les marchés.,,
CNQ.TO,Secteurs impactés,Revenus publics,"Redevances, taxes et emploi régional",Secteur,Gouvernement,Indicatif,Les producteurs contribuent aux recettes publiques et aux emplois régionaux.,,
CNQ.TO,Secteurs impactés,Énergie finale,"Transport, industrie, chimie et ménages",Secteur,Économie réelle,Indicatif,Les hydrocarbures alimentent plusieurs secteurs d’activité.,,
CNR.TO,Clients servis,Expéditeurs,"Agriculture, énergie, mines, autos et retail",Clients,Transport,Indicatif,Les expéditeurs utilisent le rail pour déplacer marchandises et intrants.,,
CNR.TO,Intrants,Matériel ferroviaire,"Locomotives, wagons, rails et signalisation",Fournisseurs,Industrie,Indicatif,Équipements physiques nécessaires à l’exploitation ferroviaire.,,
CNR.TO,Intrants,Énergie et main-d’œuvre,"Carburant, ateliers, conducteurs et maintenance",Fournisseurs,Transport,Indicatif,Intrants opérationnels clés du réseau ferroviaire.,,
CNR.TO,Secteurs impactés,Chaînes logistiques,"Commerce, agriculture, ressources et ports",Secteur,Logistique,Indicatif,"Le rail relie producteurs, ports, entrepôts et marchés.",,
CNR.TO,Secteurs impactés,Compétitivité,Exportations canadiennes,Secteur,Commerce international,Indicatif,Le rail soutient les flux d’exportation et les échanges interprovinciaux.,,
CP.TO,Clients servis,Expéditeurs,"Agriculture, énergie, mines, autos et retail",Clients,Transport,Indicatif,Les expéditeurs utilisent le rail pour déplacer marchandises et intrants.,,
CP.TO,Intrants,Matériel ferroviaire,"Locomotives, wagons, rails et signalisation",Fournisseurs,Industrie,Indicatif,Équipements physiques nécessaires à l’exploitation ferroviaire.,,
CP.TO,Intrants,Énergie et main-d’œuvre,"Carburant, ateliers, conducteurs et maintenance",Fournisseurs,Transport,Indicatif,Intrants opérationnels clés du réseau ferroviaire.,,
CP.TO,Secteurs impactés,Chaînes logistiques,"Commerce, agriculture, ressources et ports",Secteur,Logistique,Indicatif,"Le rail relie producteurs, ports, entrepôts et marchés.",,
CP.TO,Secteurs impactés,Compétitivité,Exportations canadiennes,Secteur,Commerce international,Indicatif,Le rail soutient les flux d’exportation et les échanges interprovinciaux.,,
CPX.TO,Clients servis,Utilisateurs d’infrastructure,"Entreprises, gouvernements, ménages et utilities",Clients,Infrastructure,Indicatif,Clients finaux ou indirects des infrastructures exploitées.,,
CPX.TO,Intrants,Capital et ingénierie,"Financement, construction, exploitation et maintenance",Fournisseurs,Infrastructure,Indicatif,Intrants nécessaires aux actifs de long terme.,,
CPX.TO,Secteurs impactés,Actifs réels,"Électricité, transport, immobilier et données",Secteur,Infrastructure,Indicatif,Exposition à plusieurs infrastructures essentielles.,,
CPX.TO,Secteurs impactés,Transition énergétique,"Énergie renouvelable, réseaux et efficacité",Secteur,Énergie,Indicatif,Contribution potentielle aux infrastructures de transition.,,
CSU.TO,Clients servis,Solutions numériques,"Entreprises, commerçants, développeurs, institutions et utilisateurs finaux",Clients,Technologie,Indicatif,Couverture TSX60 pour Constellation Software Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CSU.TO,Intrants,Infrastructure numérique,"Cloud, semi-conducteurs, cybersécurité, données, talents logiciels et plateformes partenaires",Fournisseurs,Technologie,Indicatif,Couverture TSX60 pour Constellation Software Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CSU.TO,Secteurs impactés,Numérisation,"Commerce, finance, industrie, productivité, paiements, données et automatisation",Secteur,Économie numérique,Indicatif,Couverture TSX60 pour Constellation Software Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CTC-A.TO,Clients servis,Demande discrétionnaire,"Ménages, automobilistes, restaurants, détaillants et consommateurs finaux",Clients,Consommation,Indicatif,Couverture TSX60 pour Canadian Tire Corporation Limited. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CTC-A.TO,Intrants,Approvisionnement commercial,"Marques, immobilier commercial, logistique, publicité, paiement et distribution",Fournisseurs,Consommation,Indicatif,Couverture TSX60 pour Canadian Tire Corporation Limited. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CTC-A.TO,Secteurs impactés,Consommation finale,"Retail, restauration, transport, publicité, logistique et immobilier commercial",Secteur,Consommation,Indicatif,Couverture TSX60 pour Canadian Tire Corporation Limited. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
CVE.TO,Clients servis,Raffinage et distribution,"Raffineries, distributeurs et clients industriels",Clients,Énergie,Indicatif,"La production alimente les carburants, la pétrochimie et les usages industriels.",,
CVE.TO,Intrants,Services pétroliers,"Forage, complétion, maintenance et équipement",Fournisseurs,Énergie,Indicatif,Services nécessaires à la production et à l’entretien des actifs.,,
CVE.TO,Intrants,Transport et infrastructures,"Pipelines, terminaux, rail et stockage",Fournisseurs,Transport,Indicatif,Infrastructure utilisée pour déplacer la production vers les marchés.,,
CVE.TO,Secteurs impactés,Revenus publics,"Redevances, taxes et emploi régional",Secteur,Gouvernement,Indicatif,Les producteurs contribuent aux recettes publiques et aux emplois régionaux.,,
CVE.TO,Secteurs impactés,Énergie finale,"Transport, industrie, chimie et ménages",Secteur,Économie réelle,Indicatif,Les hydrocarbures alimentent plusieurs secteurs d’activité.,,
DOL.TO,Clients servis,Consommation récurrente,"Ménages, épiceries, pharmacies, restaurants et canaux de distribution",Clients,Consommation,Indicatif,Couverture TSX60 pour Dollarama Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
DOL.TO,Intrants,Approvisionnement essentiel,"Agriculture, transformation alimentaire, emballage, logistique, froid et distribution",Fournisseurs,Biens essentiels,Indicatif,Couverture TSX60 pour Dollarama Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
DOL.TO,Secteurs impactés,Biens essentiels,"Alimentation, pharmacie, agriculture, transport réfrigéré et commerce de détail",Secteur,Consommation,Indicatif,Couverture TSX60 pour Dollarama Inc.. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
EMA.TO,Clients servis,Utilisateurs d’infrastructure,"Entreprises, gouvernements, ménages et utilities",Clients,Infrastructure,Indicatif,Clients finaux ou indirects des infrastructures exploitées.,,
EMA.TO,Intrants,Capital et ingénierie,"Financement, construction, exploitation et maintenance",Fournisseurs,Infrastructure,Indicatif,Intrants nécessaires aux actifs de long terme.,,
EMA.TO,Secteurs impactés,Actifs réels,"Électricité, transport, immobilier et données",Secteur,Infrastructure,Indicatif,Exposition à plusieurs infrastructures essentielles.,,
EMA.TO,Secteurs impactés,Transition énergétique,"Énergie renouvelable, réseaux et efficacité",Secteur,Énergie,Indicatif,Contribution potentielle aux infrastructures de transition.,,
ENB.TO,Clients servis,Distribution finale,"Raffineries, utilities, industrie et ménages",Clients,Énergie,Indicatif,L’énergie transportée sert ensuite les consommateurs industriels et finaux.,,
ENB.TO,Clients servis,Transport énergétique,"Producteurs de pétrole, gaz et électricité",Clients,Énergie,Indicatif,Les producteurs utilisent les réseaux pour transporter et commercialiser l’énergie.,,
ENB.TO,Intrants,Construction et ingénierie,"Services d’ingénierie, construction et maintenance",Fournisseurs,Industrie,Indicatif,"Services pour bâtir, maintenir et sécuriser les infrastructures.",,
ENB.TO,Intrants,Équipement énergétique,"Tuyauterie, compresseurs, turbines et capteurs",Fournisseurs,Industrie,Indicatif,Équipements nécessaires aux réseaux d’énergie.,,
ENB.TO,Secteurs impactés,Capex industriel,"Construction, acier, services industriels",Secteur,Industrie,Indicatif,Les grands réseaux stimulent des chaînes de services industriels.,,
ENB.TO,Secteurs impactés,Sécurité énergétique,"Industrie lourde, utilities et chauffage",Secteur,Énergie,Indicatif,Infrastructure qui soutient la disponibilité énergétique.,,
FFH.TO,Clients servis,Capital et protection financière,"Ménages, PME, grandes entreprises, investisseurs et titulaires de polices",Clients,Finance,Indicatif,Couverture TSX60 pour Fairfax Financial Holdings Limited. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
FFH.TO,Intrants,Infrastructure financière,"Paiements, données, cybersécurité, conformité et gestion du risque",Infrastructure,Finance,Indicatif,Couverture TSX60 pour Fairfax Financial Holdings Limited. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
FFH.TO,Secteurs impactés,Allocation du capital,"Immobilier, consommation, marchés financiers, industrie et épargne retraite",Secteur,Économie réelle,Indicatif,Couverture TSX60 pour Fairfax Financial Holdings Limited. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
FM.TO,Clients servis,Transformateurs,"Fonderies, raffineurs, fabricants et négociants",Clients,Matériaux,Indicatif,La production minière alimente plusieurs chaînes industrielles.,,
FM.TO,Intrants,Équipement minier,"Camions miniers, explosifs, énergie et services géologiques",Fournisseurs,Industrie,Indicatif,"Intrants nécessaires à l’exploration, l’extraction et la transformation.",,
FM.TO,Secteurs impactés,Métaux et matériaux,"Construction, énergie, électronique et infrastructure",Secteur,Industrie,Indicatif,Les métaux servent plusieurs secteurs utilisateurs.,,
FNV.TO,Clients servis,"Métaux, matériaux et intrants industriels","Raffineries, aciéries, batteries, agriculture, bijouterie et industriels",Clients,Matériaux,Indicatif,Couverture TSX60 pour Franco-Nevada Corporation. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
FNV.TO,Intrants,Chaîne minière et matériaux,"Exploration, équipement minier, énergie, eau, transport et main-d’œuvre spécialisée",Fournisseurs,Matériaux,Indicatif,Couverture TSX60 pour Franco-Nevada Corporation. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
FNV.TO,Secteurs impactés,Matières premières économiques,"Construction, énergie, technologies propres, agriculture et fabrication",Secteur,Économie réelle,Indicatif,Couverture TSX60 pour Franco-Nevada Corporation. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
FSV.TO,Clients servis,Services immobiliers,"Propriétaires, occupants, investisseurs, copropriétés et entreprises",Clients,Immobilier,Indicatif,Couverture TSX60 pour FirstService Corporation. Lecture économique sectorielle; relation contractuelle non déduite sans source spécifique.,S&P/TSX 60 constituents — sector coverage seed,https://en.wikipedia.org/wiki/S%26P/TSX_60
